"decade"	"timeline"
2010	"romantic,6,lived,58,married,-99"
2010	"romantic,3,lived,156,married,-99"
2010	"met,4,lived,26,married,-99"
2010	"met,5,romantic,7,lived,45,married,-99"
2010	"romantic,6,married,-99"
2010	"met,220,romantic,4,lived,2,married,-99"
2010	"met,1,romantic,39,lived,24,married,-99"
2010	"met,41,romantic,11,lived,23,married,-99"
2010	"met,3,romantic,6,married,-99"
2010	"met,48,lived,73,married,-99"
2010	"met,3,romantic,6,married,-99"
2010	"met,4,lived,31,married,-99"
2010	"met,14,romantic,34,lived,89,married,-99"
2010	"met,1,romantic,2,lived,29,married,-99"
2010	"met,39,married,-99"
2010	"met,562,romantic,22,married,-99"
2010	"met,3,romantic,2,lived,15,married,-99"
2010	"met,5,romantic,31,lived,40,married,-99"
2010	"met,6,romantic,33,lived,28,married,-99"
2010	"met,12,lived,33,married,-99"
2010	"romantic,193,lived,47,married,-99"
2010	"met,9,romantic,45,lived,24,married,-99"
2010	"met,1,romantic,26,lived,4,married,-99"
2010	"met,9,romantic,19,lived,27,married,-99"
2010	"romantic,18,married,-99"
2010	"met,26,romantic,13,lived,208,married,-99"
2010	"met,8,romantic,8,lived,21,married,-99"
2010	"met,22,romantic,58,married,-99"
2010	"met,1,romantic,88,lived,189,married,-99"
2010	"met,2,romantic,2,married,-99"
2010	"met,2,romantic,14,lived,4,married,-99"
2010	"met,26,romantic,12,lived,7,married,-99"
2010	"romantic,3,lived,22,married,-99"
2010	"romantic,29,married,-99"
2010	"met,3,romantic,6,lived,14,married,-99"
2010	"met,4,romantic,4,lived,44,married,-99"
2010	"met,31,romantic,120,married,-99"
2010	"met,26,romantic,3,lived,25,married,-99"
2010	"met,3,romantic,2,lived,15,married,-99"
2010	"lived,205,married,-99"
2010	"met,1,romantic,4,lived,32,married,-99"
2010	"romantic,5,lived,301,married,-99"
2010	"met,2,romantic,38,married,-99"
2010	"met,2,romantic,2,married,-99"
2010	"met,2,romantic,66,lived,13,married,-99"
2010	"romantic,28,lived,5,married,-99"
2010	"romantic,2,lived,70,married,-99"
2010	"met,18,romantic,26,lived,60,married,-99"
2010	"romantic,43,lived,36,married,-99"
2010	"met,220,romantic,4,lived,2,married,-99"
2010	"romantic,6,lived,14,married,-99"
2010	"met,31,romantic,57,married,-99"
2010	"romantic,223,lived,6,married,-99"
